ind,sentence,talkNum,sentenceNum
53,"And this is amazing how this works in domestic and sexual violence, how men have been largely erased from so much of the conversation about a subject that is centrally about men.And I'm going to illustrate what I'm talking about by using the old tech.",2917,18
54,"And if we have these predictable repeatable mistakes in vision, which we're so good at, what are the chances we won't make even more mistakes in something we're not as good at, for example, financial decision-making.",4000,64
55,"Common groups, like the sloth here, have clear adaptations for forest canopies, hanging on with their very strong claws.",4052,8
56,"They could have said, "This city is so fat that the mayor had to put them on a diet."",2737,64
57,"I'm going to count to three and when I finish, I'm going to ask every single one of you to let out your very best fangirl scream.(Laughter)Yeah?",500,93
58,"I says, "I enjoyed your film.",3957,151
59,"Our M and A had fallen through by then, and I was determined to fundraise a war chest to fight them back.",77,15
60,"She attempted it a second time, and again, halfway up, she fell backwards.",2750,117
61,"I guess the question that I'd been asking myself is, how do we make sure that in this moment, this results in action and progress that starts to close that wealth gap for Black versus white Americans?So who am I?",172,6
62,"When you get a negative outcome, you're still really learning something that you need to know.",2394,61
63,They were always trying things out.,3970,35
64,"And the important point to recognize is that even though these broadcasters were broadcasting something you would call second best, that competition was enough to break, at that time, this legal cartel over access to music.Okay.",4287,49
65,"So there's a very sharp decline in liberal ideas in the Muslim world, and what you see is more of a defensive, rigid, reactionary strain, which led to Arab socialism, Arab nationalism and ultimately to the Islamist ideology.",3536,90
66,He was loaned to us by a mining company.,2898,97
67,"I want you to say — or I want you to convey — that you are going to die if you have to, with your very last breath, your fingernails scratching as they draw you out.",4153,50
68,"I would like to talk today about what I think is one of the greatest adventures human beings have embarked upon, which is the quest to understand the universe and our place in it.",3562,0
69,"(Applause)So you see, we've been bringing the Bronx to the world but now we focus on bringing the world to the Bronx.",814,63
70,"To cope with the influx of refugees who are fleeing Somalia, where there is famine and conflict, the UN has built this area gridded out at left called the LFO extension to house more and more refugees who are arriving and occupying these white dots, which are actually tents which will slowly fill up the area over time.So if you have one of these overviews, you have a moment in time.",1673,43
71,"This time, I'm not going to talk at all.",3195,48
72,"And unlike what you see in TV and the movies, as much as I tried to get the dogs to go to the house and get help —(Laughter)they just stared at me.",383,10
73,I was actually really excited.,2658,87
74,"Now we'd need to develop good sensors that would allow us to do this, but it turns out that the world's best sensors actually already exist, and they're called animals.Now animals are built to smell.",676,30
75,"Some of the components of this clock are actually degraded, directly degraded by light.",854,42
76,"And if you think about it, how could one sector possibly take market share away from another sector if it isn't really allowed to market?",2998,51
77,"But now it's contributing gas across the Caspian Sea to provide for Europe, and even a potentially Turkmen- Afghan-Pakistan-India pipeline as well.Then there is Kazakhstan, which didn't even have a name before.",3930,138
78,"Nobody has that power to say, you can't marry that young lady.",2601,74
79,We've only begun to unlock the capabilities of our minds to process visual information.,2583,122
80,"These two gentlemen here have perfect hairdos, but they give us very different views of the world.",1669,52
81,"(Laughter)I saw teachers say, "What happened to you?"",952,62
82,"I set up a very simple website called "The Everyday Sexism Project," and I asked women and men to add their experiences of gender imbalance on a daily basis; anything from the tiny niggling normalized things, all the way up the scale.",1018,66
83,"A real-world equivalent would be that intelligence agencies would force some secret pin code into every single house alarm so they could get into every single house because, you know, bad people might have house alarms, but it will also make all of us less secure as an end result.",2773,46
84,"For those of you who are truly interested in art, you can click this — but I'm going to click this off right now.",3546,31
85,Favorite: Will &amp; Grace.,2695,59
86,That was the only way to get anything done.,1891,57
87,"So the relative change that ET, Educational Technology, would make, would be far greater at the bottom of the pyramid than at the top, but we seem to be doing it the other way about.So I came to this conclusion that ET should reach the underprivileged first, not the other way about.",4168,38
88,"When we burn fossil fuels, we release carbon dioxide  that builds up in our atmosphere, where it remains for hundreds  or even thousands of years, letting heat in, but not out.The heat comes from sunlight, which passes through the atmosphere to Earth, where it gets absorbed  and warms everything up.",49,18
89,"So, like the project we  did in Philadelphia, we are also invited to do workshops, for instance in Curaçao, and right now we're planning  a huge project in Haiti.JK: So the favela was not only the place where this idea started: it was also the place that made it possible to work without a master plan, because these communities are informal — this was the inspiration — and in a communal effort,  together with the people, you can almost work like in an orchestra, where you can have a hundred instruments playing together to create a symphony.DU: So we want to thank everybody who wanted to become part of this dream and supported us along the way, and we are looking at continuing.JK: Yeah.",2485,66
90,"This is a picture that Al Gore gave me a few years ago that he took when he was in the Soviet Union a long, long time ago, showing the fishing fleets of the Aral Sea.",3288,68
91,♫♫ You're older than you've even been ♫♫ and now you're even older ♫♫ and now you're older still.,4224,1
92,No sale at Penny's.,1818,3
93,"So magic is an excellent way for staying ahead of the reality curve, to make possible today what science will make a reality tomorrow.",3108,1
94,All this noise around us actually has information.,4010,11
95,Would she have appeared on the cover of Vanity Fair to begin with?,333,15
96,"And it's the combination of all the things we've talked about: technology and its transformational effect on work, and demography and the huge explosion in population.Suddenly, degrees aren't worth anything.",4438,166
97,"I said, "If I can't get the craft that I want, I'll use the craft I can get."",4243,113
98,"And our interest in this mountain range, as Earth scientists in those days, was not only because of its tremendous size, dominating the planet, but the role it plays in the genesis of the Earth's outer skin.",4216,68
99,We actually ship more than twice as much of every form of information technology.,3990,47
100,"What we need to do, though, is we need to develop a kind of microbial GPS, where we don't just know where we are currently but also where we want to go and what we need to do in order to get there, and we need to be able to make this simple enough that even a child can use it.",2410,116
101,"We deal right now in the educational landscape with an infatuation with the culture of one right answer that can be properly bubbled on the average multiple choice test, and I am here to share with you: it is not learning.",3649,61
102,"And we are having difficulties in so many of our communities and so many of our schools where kids are coming to first grade and their eyes are blazing, they've got their little knapsack on and they're ready to go, and then they realize they're not like the other first graders who know books, have been read to, can do their alphabet.",3035,95
103,"And also, even though it's plotted on a log curve on the left, it's curving upwards.",3329,52
104,"I should also note, for the record, that I never used that letter of recommendation to make a purchase, and to all of you DEA agents out there —(Laughter)love the work that you're doing, keep it up.",1787,60
105,"In this case, it's someone who's very angry because someone looked at his girlfriend or owes him money, and you can find workers and train them into these specialized categories.And the second thing to do, of course, is to prevent further spread, that means to find who else has been exposed, but may not be spreading so much right now like someone with a smaller case of T.B., or someone who is just hanging out in the neighborhoods, but in the same group, and then they need to be, in a way, managed as well, particular to the specific disease process.And then the third part, the shifting the norms, and that means a whole bunch of community activities, remodeling, public education, and then you've got what you might call group immunity.",2796,57
106,"And that was really exciting to a journalist, but the most interesting part was when I got back home, actually, because I learned that I had been watched by more than 90,000 people, and I got hundreds of emails and messages of people asking me, basically, how did I do it, how it was possible to do such a thing.And I learned something else, that that was actually the first time that somebody had ever done a livestreaming in a street protest in the country.",2454,16
107,"Most of them impossible, some of them impractical and one or two of them certainly immoral.",4401,223
108,"The new economics suggests just five rules of thumb.First is that successful economies are not jungles, they're gardens, which is to say that markets, like gardens, must be tended, that the market is the greatest social technology ever invented for solving human problems, but unconstrained by social norms or democratic regulation, markets inevitably create more problems than they solve.",730,49
109,"Bier said that he and his grad student Valentino Gantz had stumbled on a tool that could not only guarantee that a particular genetic trait would be inherited, but that it would spread incredibly quickly.",2067,10
110,"(Laughter) And knowing so much about the psychology of people prepared her well for her current job, which is that of a psychoanalyst.Now, why were Manya's customers so irrational?",2575,18
111,And the logical and rational answer is that you should work with the remaining 88 percent.Now where does one go if you want to get the support of humanity?,758,83
112,"Like them, many species of whales saw their numbers drastically reduced by 200 years of whaling, where they were hunted and killed for their whale meat, oil and whale bone.We only have whales in our waters today because of the Save the Whales movement of the '70s.",2448,2
113,"That's the sort of thing that happens to someone else, not me, surely.But then the doctor came over to me and she said, "Janine, the operation was a success, and we've picked as much bone out of your spinal cord as we could.",3076,55
114,"But I can tell you, I haven't read anything scarier than this here, and that's this statistic: in order to keep up with the growing population, we're going to need to grow more food over the course of the next 50 years than we have grown over the course of the past 10,000 years combined.What makes this even more challenging is that we're going to need to grow all this food with less, and when I say less, I mean a number of things.",3393,39
115,Amazon only needs one person for two at Macy's.,1595,82
116,"We have yet to do this in the United States.So I sent a cold email to info@equaljusticeintiative.org: "Dear Bryan," it said, "I think your building project is maybe the most important project we could do in America and could change the way we think about racial injustice.",1971,58
117,"We can, for example, go find Miko's locker and get some more information about her.",4054,59
118,Would you welcome the chance to come back to America?ES: Absolutely.,2674,195
119,"For instance, "'Your money or your life,' she said threateningly."",3084,41
120,"I should say, it is more practical than people think.Here is an example that climatologists like a lot, one of the dozens of geoengineering ideas.",3966,161
121,"They need to look at this, anticipate  the barriers, and recognize them, put them out in the open, have the dialogue about it, but that it's really for women who are that.",2724,122
122,"It would take a long while to explain how a soul could be the kind of thing that could be washed, but Rattray knew that this was religion because souls were in play.And similarly, there were many other things, many other practices.",2595,62
123,"Imagine similarly two airlines were to say, "Look, Airline A, we'll take the route from LA to Chicago," and Airline B says, "We'll take the route from Chicago to DC, and we won't compete."",1795,22
124,"(Laughter)And that would happen every single paper.But then came my 90-page senior thesis, a paper you're supposed to spend a year on.",2117,6
125,We placed a little voice-recognition element right here.,1677,128
126,"Now we saw an example of this in 2011 when an American RQ-170 Sentinel drone got a bit confused over Iran due to a GPS spoofing attack, but any remotely-piloted drone is susceptible to this type of attack, and that means drones will have to shoulder more decision-making.",2903,30
127,"It doesn't mean that you've got to turn into an extrovert and burn out, because that's no use for anyone, but what it does mean is that you should value the skills and the traits that you have that activism needs.",1594,67
128,This is why I can wear my gho with pride.,2121,31
129,(Applause),3178,113
130,"So, again, with a multi-point interface, you can do a gesture like this — so you can be able to tilt around like that —(Surprised laughter)It's not just simply relegated to a kind of 2D panning and motion.",4428,68
131,There is some good successes.,3926,66
132,"If we look at research on technological innovation, it shows that increasingly, the most impactful patents are not authored by individuals who drill deeper, deeper, deeper into one area of technology as classified by the US Patent Office, but rather by teams that include individuals who have worked across a large number of different technology classes and often merge things from different domains.Someone whose work I've admired who was sort of on the forefront of this is a Japanese man named Gunpei Yokoi.",251,77
133,Then the donor cells are infused into  the patient’s body through a central line.,543,18
134,"You know, as I've gotten older, I've understood more the importance of friendships, and so, I really make an effort to reach out and make play dates — not let too much time go by.",2182,27
135,But I also believe that most folks in the middle are capable of a lot more.,1014,27
136,"But they're doing what they're told, and what they're being told to do is wrong.",3850,128
137,And our cybercriminals had done the same thing.,2821,89
138,Costs for clean energy are coming down.,410,110
139,"The fact that the museum was willing to risk me playing with this kind of showed me that my images had worth — you know, they weren't disposable.That's the image that I produced.",1646,63
140,What seems like a day to them might be a thousand years to us.,1518,97
141,"Actually, the lander will come down to about 100 feet and hover above that surface for 100 feet, and then we have a sky crane which will take that Rover and land it down on the surface.",4113,187
142,"It doesn't mean everyone goes in and eats dog food, but businesspeople will use their own products to demonstrate that they feel — that they're confident in them.",1721,5
143,"Some day, perhaps soon, we'll have a virus that is going to threaten all of us.",3777,137
144,The boreal forest sequesters more carbon than any other terrestrial ecosystem.,3341,61
145,"[But after thinking logically about it, ] [I didn't find any reason why not to meet them] [and let them know of our suffering.",4431,152
146,"Pakistan is — We're 8,000 miles away from where I'm here with you today.",1010,43
147,Because we can't solve problems.,4391,24
148,"(Laughter) So this has been called the most sublime and awesome mystery, the deepest and most far-reaching question man can pose.",2540,9
149,"You don't see luminescence until the submersible begins to move forward through the water, but as it does, animals bumping into the screen are stimulated to bioluminesce.Now, when I was first doing this, all I was trying to do was count the numbers of sources.",3805,19
150,"In the case of the tongue map, Hänig’s dissertation was written  in German, meaning the paper could only be  understood by readers fluent in German and well versed in Hanig’s  small corner of academia.",246,15
151,"Why our universe is continuing to expand, and what is this mysterious dark energy that drives that expansion?But first, I want to show you how technology is going to change the way we view the sky.",2530,10
152,"He received several candidates, made a selection, conducted a few final interviews, and in the end finally found Bernt, who agreed wholeheartedly.",1380,32
153,"Its name is Bhubaneswar, and here's a picture of one of the temples in her town.Mira Nair: In this little town, there were like 2,000 temples.",3093,17
154,"And civic leaders should deploy sensors and civic drones to detect rogue drones, and instead of sending killer drones of their own up to shoot them down, they should notify humans to their presence.",2903,73
155,"Nor should anything I say be taken as a justification of violations of human rights, like the mass death sentences handed out in Egypt earlier this week.",2574,38
156,"So we've spent a lot of time and effort in turning the data into stories to be able to tell, what's the state of the engine, how are the tires degrading, what's the situation with fuel consumption?",2851,23
157,"Lastly, when you finally are called back to see the provider, you've already taken your own weight in the waiting room, and done your own pee test in the bathroom.This is a big departure from the traditional medical model, because it places responsibility and information back in the woman's hands.",1849,71
158,So let me put them all together.,4099,236
159,(Applause) Thank you.,3402,80
160,"I didn't know the statistics at the time, but it turned out that by 2017, only six percent of liquid waste and 21 percent of solid waste was being collected.",349,51
161,"And that's how this project got going.CR: But are you at the mercy of the wind?LP: Yeah, but it turns out, we did some weather simulations which probably hadn't really been done before, and if you control the altitude of the balloons, which you can do by pumping air into them and other ways, you can actually control roughly where they go, and so I think we can build a worldwide mesh of these balloons that can cover the whole planet.CR: Before I talk about the future and transportation, where you've been a nerd for a while, and this fascination you have with transportation and automated cars and bicycles, let me talk a bit about what's been the subject here earlier with Edward Snowden.",2669,92
162,"But instead of a peaceful journey to work, each day begins with fear.",2469,99
163,"In fact, I'd grown so accustomed to it that I started to panic at the prospect of losing it.",851,97
164,"And because of my activity, I landed in solitary confinement for seven and a half years out of my incarceration.Now as I see it, solitary confinement is one of the most inhumane and barbaric places you can find yourself, but find myself I did.",2589,21
165,"So, for example, I might say, "Because I didn't get the message, I was blocked on my work and couldn't move forward" or "I really liked how you added those stories, because it helped me grasp the concepts faster."",523,36
166,It's still a huge issue.,1953,33
167,"So if there's one thing that Bella has taught me, it's that, like Bella, we can all positively change and influence our environments for the better.",781,107
168,"Until the water gets too hot, but that's another TED Talk.",1657,87
169,"So the difference is, is that rather than linking from page to page, we're actually going to link from one idea on a page to another idea, rather than to the other page.",4179,131
170,"I'm trying to say we have to combine all the systems, and with one condition: never — if you have a subway, if you have surface systems, if you have any kind of system — never compete in the same space.And coming back to the car, I always used to say that the car is like your mother-in-law: you have to have good relationship with her, but she cannot command your life.",4259,54
171,"We've added seat belts, we've added air bags, and in the last decade, we've actually started trying to make the car smarter to fix that bug, the driver.Now, today I'm going to talk to you a little bit about the difference between patching around the problem with driver assistance systems and actually having fully self-driving cars and what they can do for the world.",2309,4
172,And this one actually carries two great manipulators.,4120,38
173,"So for the past year and a half, my team at Push Pop Press and Charlie Melcher and Melcher Media have been working on creating the first feature-length interactive book.",3557,0
174,"It worked so well, in fact, one guy even used it to download an episode of "How I Met Your Mother."",2599,71
175,And the reason I'm saying this is that you may have the idea this problem is relatively recent.,4285,4
176,"And together these volunteers and the teachers are deeply committed to creating a new generation of global, green leaders.",3664,112
177,"The theory not only shattered our previous understanding of reality but would also pave the way for technologies, ranging from particle accelerators, to the global positioning system.One might think that this was enough, but in September, a fourth paper arrived as a "by the way" follow-up to the special relativity paper.",2445,20
178,"You know, from an oceanic perspective, 450 is way too high.",3712,26
179,It is not important if I like the job or not.But my dream was to become a Chinese opera singer.,2913,5
180,"A year later, a third of the participants were able to acquire three new self-management skills and maintain them to the extent that it was able to improve their blood pressures, their blood sugar and their exercise.Now, what was simple yet fascinating to us was that the group from the church did just as well or even better than the group that were under purely medical care.",549,25
181,I am a fish paleobiologist who uses big data — the fossil record — to study how some species win and others lose.,1620,11
182,"And I got in my sailboat, sailed all the way through the Caribbean — it wasn't really my sailboat, I kind of worked on that boat — got to Venezuela and I started walking.This is the last part of this story, because it’s how I got here, because I still didn't ride in motorized vehicles.",4118,136
183,"(Laughter)That's what you're seeing today, where nearly 400 girls have not gone through FGM in my village, in a region where nearly 80 percent of women have been cut.",923,80
184,"And so as you're looking at these systems, it doesn't matter, it doesn't matter, it doesn't matter, and then it does.So let me just give you the map view of this stuff.",1001,48
185,"I wrote a letter to my assaulter, humanizing him as "you," to identify him as part of the very community that he had so violently abused that night.Stressing the tidal-wave effect of his actions, I wrote: "Did you ever think of the people in your life?",1948,11
186,"And that was a very big part of the buy-in, much less anxiety when you think that something can be put back.",2799,33
187,What they hadn't really thought about is that we've all been living under a much larger cloud for decades — potentially a mushroom cloud — without giving it much thought.Now it's not surprising that friends of mine and many others like them don't know much about nuclear weapons and don't think about them.,619,11
188,I got interested in this when the World Health Organization came to my team asking if we could help with a project to reduce deaths in surgery.,3282,78
189,"The six-year-old Licinia witnessed the spectacle, never suspecting that a few days later, she'd be chosen as the next Vestal Virgin.",1751,11
190,"So to get people warmed up, let's start with an easy question — something I'm sure everybody here has an opinion about: iPhone versus Android.",3530,42
191,Part of the problem in Crazy Mode is that you are reacting to everything as if it is red.,387,33
192,You cannot take away someone's story without giving them a new one.,784,17
193,"She oversaw humanity’s material comforts; and ensured that the Earth’s inhabitants were bonded to each other physically, emotionally, and spiritually.Yet a rift had grown  between these two formidable forces.",511,4
194,"We also found out about the height of the ceiling, and we managed to reconstruct, therefore, all the layout of this original hall the way it was before there came Vasari, and restructured the whole thing, including a staircase that was very important in order to precisely place "The Battle of Anghiari" on a specific area of one of the two walls.Well, we also learned that Vasari, who was commissioned to remodel the Hall of the 500 between 1560 and 1574 by the Grand Duke Cosimo I of the Medici family, we have at least two instances when he saved masterpieces specifically by placing a brick wall in front of it and leaving a small air gap.",3121,5
195,"And then you cut again, again, again, again, again, again, again, again, again, and you still get small cauliflowers.",3750,20
196,Just a few moments.,4109,141
197,The magnetic field may gather energy from the solar wind that allows even more atmospheric escape to happen.,1996,87
198,"At the same time, though, we spend about as much money taking the smells off us as putting them back on in perfumes, and perfumes are a multi-billion-dollar business.So what I want to do in the rest of this talk is tell you about what pheromones really are, tell you why I think we would expect humans to have pheromones, tell you about some of the confusions in pheromones, and then finally, I want to end with a promising avenue which shows us the way we ought to be going.So the ancient Greeks knew that dogs sent invisible signals between each other.",2619,18
199,"So even if the brain sends a signal, the muscle cell can’t generate the action potential necessary to contract.Even when ions like sodium,  potassium or calcium are depleted in or around the muscle cell, these ions are plentiful  elsewhere in the body.",909,17
200,Eliot really said it for me — and this should give you goose bumps: "we shall not cease from exploration and the end of our exploring shall be to return where we started and know the place for the first time.",4120,8
201,"They think of the old medium, because the old medium is always the content of the new medium, as movies tend to be the content of TV, and as books used to be the content, novels used to be the content of movies.",4163,263
202,I had to start listening to that man on the inside that went against everything that I had been trained to do.But we still did it.,2169,38
203,"I would love to know, neurologically, what actually happens in my mind when I do this, but what happens to me physiologically is that my mind, just hearing those words and seeing those words, settles, and then from there, I'm able to take the next intuitive right action the best that I can.CA: Liz, you can say no to this, it may be a totally inappropriate thing to ask, but you don't happen to have a letter from the last day or two that you'd consider reading, all or in part of?",432,433
204,"But again, those rewards could be calibrated so precisely if we were able to use the vast expertise of gaming systems to just jack up that appeal, to take the data, to take the observations, of millions of human hours and plow that feedback into increasing engagement.And in the end, it's this word, "engagement," that I want to leave you with.",3677,158
205,You're in the ocean looking at more water.,3316,36
206,"And the Monkey said, "Totally agree, but let's just open Google Earth and zoom in to the bottom of India, like 200 feet above the ground, and scroll up for two and a half hours til we get to the top of the country, so we can get a better feel for India.",2117,86
207,"I came up with rule number nine after I actually didn't plan for a fall, and went about 40 feet and cracked a rib.",4021,44
208,"If this is the case, answer the question at hand by all means, but merely frame your response in promotion in an effort to garner higher amounts of funding for your start-ups.The unfortunate reality, though, is that both men and women evaluating start-ups display the same implicit gender bias in their questioning, inadvertently favoring male entrepreneurs over female ones.",1073,68
209,It's probably the first and maybe the only bestseller ever written about economics.,1389,2
210,"And you can see in the context, it's just a relatively small section of one of 10 mining complexes and another 40 to 50 on stream to be approved soon.And of course, these tailings ponds — well, you can't see many ponds from outer space and you can see these, so maybe we should stop calling them ponds — these massive toxic wastelands are built unlined and on the banks of the Athabasca River.",3341,50
211,And what we found was — we jumbled up the photographs so they couldn't recognize the before and after — what we found was that the patients were regarded as being more attractive after the surgery.,3605,59
212,"The second thing we're looking at —CA: But just — on that goal, daily active usage, if you're measuring that, that doesn't necessarily mean things that people value every day.",917,111
213,"If some glorious angel suddenly descended through my living-room ceiling and offered to take away the children I have and give me other, better children — more polite, funnier, nicer, smarter —(Laughter)I would cling to the children I have and pray away that atrocious spectacle.",2912,127
214,"This is an example from Karen Burg's lab, where they're using inkjet technologies to print breast cancer cells and study its progressions and treatments.",3068,37
215,They would snorkel for as long as we would let them snorkel.,4376,55
216,"And if I see — you know, if I fly on somebody else's airline and find the experience is not a pleasant one, which it wasn't, 21 years ago, then I'd think, well, you know, maybe I can create the kind of airline that I'd like to fly on.",4295,17
217,My technology.,3792,179
218,"We've got some of the most incredible video of Titanic that's ever been seen, and we're not going to show you any of it.",4158,3
219,"He didn't even ask her any other questions.See, I can understand where Leah's coming from, because the years that I've worked with the community, I hear myths every single day that aren't true at all.",1184,54
220,"If your bank account's one dollar, and you flip a single bit, you could end up with a thousand dollars.",4165,11
221,"If you designate a spot and you're scrupulous about it, your things will always be there when you look for them.What about travel?",2220,34
222,"That person next to you is a brother, is a sister.",3221,125
223,They sifted all the mountains of data that they had collected to try to work out what allowed the children who'd had a difficult start in life to go on and do well at school nevertheless.,1649,52
224,"And people who live in cities in the developed world tend to be very prosperous, and thus use a lot of stuff.",4358,56
225,"In Boston ... Boston is a little bit like Namibia in its cell phone coverage, (Laughter) so that we're not accustomed to that all the time, but some of the time.",3797,95
226,"The point is, scientists must be free to choose what they want to explore, what they are passionate about and they must be free to report their findings.You heard me say that respect for science started to improve in Canada in 2015.",1390,43
227,"(Applause) We call this satellite "Dove," and we call it "Dove" because  satellites are typically named after birds, but normally birds of prey: like Eagle, Hawk, Swoop,  Kill, I don't know, Kestrel, these sort of things.",2476,21
228,"He allowed me to photograph him for quite a long time, and he even turned his face toward the light, as if he wanted me to see him better.",4378,62
229,How do we know when we're looking at something whether it's real or not?,4262,56
230,But the scientific possibilities rally people with diverse interests into working intensely together.What's the future that we could hope to create?,1249,108
